"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Lyon][exterieur][Température] °C"
"2018-05-22 23:00:00";;21,45;19,425
"2018-05-23 00:00:00";;21,5;19,5
"2018-05-23 01:00:00";;21,5;19,5
"2018-05-23 02:00:00";;21,5;19,4
"2018-05-23 03:00:00";;21,5;19,275
"2018-05-23 04:00:00";;21,5;19,075
"2018-05-23 05:00:00";;21,45;18,925
"2018-05-23 06:00:00";;21,4;18,825
"2018-05-23 07:00:00";;21,4;18,9
"2018-05-23 08:00:00";;21,35;19
"2018-05-23 09:00:00";;21,125;19,3
"2018-05-23 09:09:58";1
"2018-05-23 10:00:00";;21,1;19,775
"2018-05-23 11:00:00";;21,1;20,25
"2018-05-23 12:00:00";;21,1;20,925
"2018-05-23 13:00:00";;21,1;21,475
"2018-05-23 14:00:00";;21,1;21,425
"2018-05-23 15:00:00";;21,1;20,4
"2018-05-23 16:00:00";;21,1;20,25
"2018-05-23 17:00:00";;21,1;20,575
"2018-05-23 18:00:00";;21,1;20,5
"2018-05-23 19:00:00";;21,1;20,3
"2018-05-23 20:00:00";;21,1;20,1
"2018-05-23 21:00:00";;21,1;19,85
"2018-05-23 22:00:00";;21,1;19,55
"2018-05-23 23:00:00";;21,1;19,35
"2018-05-24 00:00:00";;21,1;19,125
"2018-05-24 00:51:53";0
"2018-05-24 01:00:00";;21,1;18,85
"2018-05-24 02:00:00";;21,1;18,7
"2018-05-24 03:00:00";;21,1;18,5
"2018-05-24 04:00:00";;21,1;18,4
"2018-05-24 05:00:00";;21,1;18,25
"2018-05-24 06:00:00";;21,1;17,95
"2018-05-24 07:00:00";;21,1;17,85
"2018-05-24 08:00:00";;21,1;18
"2018-05-24 08:42:53";1
"2018-05-24 09:00:00";;21,1;18,55
"2018-05-24 10:00:00";;21,1;19,5
"2018-05-24 11:00:00";;22,475;20,55
"2018-05-24 11:54:45";0
"2018-05-24 12:00:00";;21,825;21,525
"2018-05-24 13:00:00";;21,175;22,275
"2018-05-24 14:00:00";;21,15;23
"2018-05-24 15:00:00";;21,2;23,65
"2018-05-24 16:00:00";;21,25;23,95
"2018-05-24 17:00:00";;21,3;24
"2018-05-24 18:00:00";;21,3;23,775
"2018-05-24 19:00:00";;21,525;23,425
"2018-05-24 19:14:47";1
"2018-05-24 20:00:00";;21,6;23,05
"2018-05-24 21:00:00";;21,6;22,5
"2018-05-24 22:00:00";;22;22,225
"2018-05-24 23:00:00";;22,125;22,025
"2018-05-25 00:00:00";;22,15;21,775
"2018-05-25 00:19:53";0
"2018-05-25 01:00:00";;22,1;21,475
"2018-05-25 02:00:00";;22,1;21,2
"2018-05-25 03:00:00";;22,1;20,825
"2018-05-25 04:00:00";;22,05;20,425
"2018-05-25 05:00:00";;22;20,05
"2018-05-25 06:00:00";;22;19,8
"2018-05-25 07:00:00";;21,95;19,7
"2018-05-25 07:57:43";1
"2018-05-25 08:00:00";;21,575;19,925
"2018-05-25 09:00:00";;21,4;20,575
"2018-05-25 10:00:00";;21,45;21,45
"2018-05-25 11:00:00";;21,625;22,5
"2018-05-25 12:00:00";;21,9;23,425
"2018-05-25 13:00:00";;22,15;24,15
"2018-05-25 14:00:00";;22,375;24,925
"2018-05-25 15:00:00";;22,675;25,425
"2018-05-25 16:00:00";;22,775;25,6
"2018-05-25 17:00:00";;22,8;25,05
"2018-05-25 18:00:00";;22,75;24,35
"2018-05-25 19:00:00";;22,7;24,125
"2018-05-25 20:00:00";;22,7;23,725
"2018-05-25 21:00:00";;22,7;23,325
"2018-05-25 22:00:00";;22,7;22,975
"2018-05-25 23:00:00";;22,725;22,625
"2018-05-25 23:58:58";0
"2018-05-26 00:00:00";;22,8;22,325
"2018-05-26 01:00:00";;22,85;22,075
"2018-05-26 02:00:00";;22,9;21,8
"2018-05-26 03:00:00";;22,875;21,625
